flight_number,standard_time,estimated_time,location,airline,international,flight_status
BHA901,2023-08-15 17:40:00,"[{""time"": ""2023-08-15 17:40:00"", ""timestamp"": ""2023-08-15 18:15:03""}, {""time"": ""2023-08-15 18:24:00"", ""timestamp"": ""2023-08-15 18:45:03""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 18:45:03""}]"
BHA563,2023-08-15 17:55:00,"[{""time"": ""2023-08-15 17:55:00"", ""timestamp"": ""2023-08-15 18:15:03""}, {""time"": ""2023-08-15 18:26:00"", ""timestamp"": ""2023-08-15 18:45:03""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 18:45:03""}]"
BHA705,2023-08-16 12:20:00,"[{""time"": ""2023-08-16 12:20:00"", ""timestamp"": ""2023-08-16 12:45:02""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 12:45:02""}]"
NYT675,2023-08-15 09:50:00,"[{""time"": ""2023-08-15 10:40:00"", ""timestamp"": ""2023-08-15 11:15:02""}, {""time"": ""2023-08-15 11:10:00"", ""timestamp"": ""2023-08-15 11:45:03""}]",Pokhara,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 10:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 11:45:03""}]"
3U3902,2023-08-16 12:25:00,"[{""time"": ""2023-08-16 12:25:00"", ""timestamp"": ""2023-08-16 12:45:02""}]",Tianfu,Sichuan Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 12:45:02""}]"
SL221,2023-08-15 18:23:00,"[{""time"": ""2023-08-15 18:23:00"", ""timestamp"": ""2023-08-15 18:45:03""}]",Bangkok,Thai Lion,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 18:45:03""}]"
BHA503,2023-08-15 10:25:00,"[{""time"": ""2023-08-15 10:25:00"", ""timestamp"": ""2023-08-15 11:15:02""}, {""time"": ""2023-08-15 11:10:00"", ""timestamp"": ""2023-08-15 11:45:03""}]",Janakpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 10:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 11:45:03""}]"
BHA553,2023-08-15 10:30:00,"[{""time"": ""2023-08-15 11:05:00"", ""timestamp"": ""2023-08-15 11:15:02""}, {""time"": ""2023-08-15 11:48:00"", ""timestamp"": ""2023-08-15 12:15:05""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 11:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 12:15:05""}]"
BHA403,2023-08-15 11:25:00,"[{""time"": ""2023-08-15 11:25:00"", ""timestamp"": ""2023-08-15 11:45:03""}, {""time"": ""2023-08-15 11:56:00"", ""timestamp"": ""2023-08-15 12:15:05""}]",Nepalgunj,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 11:45:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 12:15:05""}]"
BHA855,2023-08-15 11:30:00,"[{""time"": ""2023-08-15 11:30:00"", ""timestamp"": ""2023-08-15 11:15:02""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 11:15:02""}]"
RA409,2023-08-15 11:40:00,"[{""time"": ""2023-08-15 11:40:00"", ""timestamp"": ""2023-08-15 12:15:05""}]",Hong Kong,Nepal Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 12:15:05""}]"
BG372,2023-08-15 12:40:00,"[{""time"": ""2023-08-15 12:40:00"", ""timestamp"": ""2023-08-15 11:15:02""}]",Dhaka,Biman Bangladesh,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 10:45:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 11:45:03""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-15 12:15:05""}]"
MH171,2023-08-15 13:05:00,"[{""time"": ""2023-08-15 13:05:00"", ""timestamp"": ""2023-08-15 11:15:02""}]",Kuala Lumpur,Malaysia Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 10:45:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 12:15:05""}]"
UL182,2023-08-15 13:15:00,"[{""time"": ""2023-08-15 13:15:00"", ""timestamp"": ""2023-08-15 11:15:02""}]",Colombo,SriLankan Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 10:45:03""}, {""status"": ""Completed"", ""timestamp"": ""2023-08-15 12:15:05""}]"
RA225,2023-08-15 13:45:00,"[{""time"": ""2023-08-15 13:45:00"", ""timestamp"": ""2023-08-15 11:15:02""}]",Banglore,Nepal Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 10:45:03""}]"
BHA857,2023-08-15 13:20:00,"[{""time"": ""2023-08-15 13:46:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 14:15:02""}]"
SL221,2023-08-15 18:20:00,"[{""time"": ""2023-08-15 18:20:00"", ""timestamp"": ""2023-08-15 15:15:02""}]",Bangkok,Thai Lion,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 15:15:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 16:45:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 17:45:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 18:15:03""}]"
KB205,2023-08-15 14:45:00,"[{""time"": ""2023-08-15 14:45:00"", ""timestamp"": ""2023-08-15 11:45:03""}]",Paro,Druk Air,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 11:45:03""}]"
WE320,2023-08-15 13:44:00,"[{""time"": ""2023-08-15 13:44:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Bangkok,THAI Smile,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 13:45:02""}]"
BHA805,2023-08-15 18:20:00,"[{""time"": ""2023-08-15 18:20:00"", ""timestamp"": ""2023-08-15 18:15:03""}, {""time"": ""2023-08-15 18:34:00"", ""timestamp"": ""2023-08-15 18:45:03""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 18:45:03""}]"
H9678,2023-08-15 13:57:00,"[{""time"": ""2023-08-15 13:57:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Dhaka,Himalaya Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 14:15:02""}]"
NYT925,2023-08-15 13:25:00,"[{""time"": ""2023-08-15 14:30:00"", ""timestamp"": ""2023-08-15 14:15:02""}, {""time"": ""2023-08-15 14:57:00"", ""timestamp"": ""2023-08-15 15:15:02""}]",Bhadrapur,Yeti Airlines,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-15 14:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 14:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 15:15:02""}]"
RA225,2023-08-15 14:05:00,"[{""time"": ""2023-08-15 14:05:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Banglore,Nepal Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 14:15:02""}]"
BHA359,2023-08-16 12:30:00,"[{""time"": ""2023-08-16 12:30:00"", ""timestamp"": ""2023-08-16 12:45:02""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 12:45:02""}]"
BHA955,2023-08-16 12:30:00,"[{""time"": ""2023-08-16 12:30:00"", ""timestamp"": ""2023-08-16 12:45:02""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 12:45:02""}]"
AI248,2023-08-15 14:35:00,"[{""time"": ""2023-08-15 14:35:00"", ""timestamp"": ""2023-08-15 11:45:03""}]",Kolkata,Air India,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 11:45:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 14:15:02""}]"
NYT677,2023-08-16 12:30:00,"[{""time"": ""2023-08-16 12:30:00"", ""timestamp"": ""2023-08-16 12:15:03""}]",Pokhara,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 12:15:03""}]"
BHA807,2023-08-15 19:25:00,"[{""time"": ""2023-08-15 19:25:00"", ""timestamp"": ""2023-08-15 19:15:02""}, {""time"": ""2023-08-15 19:48:00"", ""timestamp"": ""2023-08-15 20:15:02""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 19:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 20:15:02""}]"
RA415,2023-08-15 21:53:00,"[{""time"": ""2023-08-15 21:53:00"", ""timestamp"": ""2023-08-15 22:15:02""}]",Kuala Lumpur,Nepal Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 22:15:02""}]"
SHA223,2023-08-15 12:30:00,"[{""time"": ""2023-08-15 14:00:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Dhangadhi,Shree Airlines,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 14:15:02""}]"
NYT421,2023-08-15 13:30:00,"[{""time"": ""2023-08-15 14:00:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Nepalgunj,Yeti Airlines,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 14:15:02""}]"
BHA707,2023-08-15 14:00:00,"[{""time"": ""2023-08-15 14:00:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 14:15:02""}]"
BHA135,2023-08-16 13:00:00,"[{""time"": ""2023-08-16 13:00:00"", ""timestamp"": ""2023-08-16 12:45:02""}]",Surkhet,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 12:45:02""}]"
OV426,2023-08-15 21:55:00,"[{""time"": ""2023-08-15 21:55:00"", ""timestamp"": ""2023-08-15 22:15:02""}]",Muscat,Salam Air,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 22:15:02""}]"
BHA505,2023-08-15 13:50:00,"[{""time"": ""2023-08-15 13:50:00"", ""timestamp"": ""2023-08-15 14:15:02""}, {""time"": ""2023-08-15 14:20:00"", ""timestamp"": ""2023-08-15 14:45:02""}]",Janakpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 13:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 14:45:02""}]"
6E1154,2023-08-15 14:05:00,"[{""time"": ""2023-08-15 14:05:00"", ""timestamp"": ""2023-08-15 11:45:03""}]",Delhi,IndiGo,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 11:45:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 14:15:02""}]"
BHA405,2023-08-15 14:15:00,"[{""time"": ""2023-08-15 14:15:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Nepalgunj,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 14:15:02""}]"
BHA713,2023-08-15 18:00:00,"[{""time"": ""2023-08-15 18:00:00"", ""timestamp"": ""2023-08-15 18:15:03""}, {""time"": ""2023-08-15 18:10:00"", ""timestamp"": ""2023-08-15 18:45:03""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 18:15:03""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 18:45:03""}]"
BHA657,2023-08-15 15:35:00,"[{""time"": ""2023-08-15 15:35:00"", ""timestamp"": ""2023-08-15 15:45:02""}, {""time"": ""2023-08-15 16:00:00"", ""timestamp"": ""2023-08-15 16:45:03""}, {""time"": ""2023-08-15 17:00:00"", ""timestamp"": ""2023-08-15 17:15:04""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 16:45:03""}]"
BHA375,2023-08-15 14:20:00,"[{""time"": ""2023-08-15 14:20:00"", ""timestamp"": ""2023-08-15 14:15:02""}, {""time"": ""2023-08-15 15:03:00"", ""timestamp"": ""2023-08-15 15:15:02""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 14:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 15:15:02""}]"
BHA171,2023-08-15 14:40:00,"[{""time"": ""2023-08-15 14:40:00"", ""timestamp"": ""2023-08-15 14:45:02""}, {""time"": ""2023-08-15 15:02:00"", ""timestamp"": ""2023-08-15 15:15:02""}]",Rajbiraj,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 14:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 15:15:02""}]"
6E1158,2023-08-15 15:20:00,"[{""time"": ""2023-08-15 15:20:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Mumbai,IndiGo,t,"[{""status"": ""Security Check"", ""timestamp"": ""2023-08-15 14:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 14:45:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 15:15:02""}]"
SHA823,2023-08-15 13:45:00,"[{""time"": ""2023-08-15 15:35:00"", ""timestamp"": ""2023-08-15 15:15:02""}, {""time"": ""2023-08-15 15:52:00"", ""timestamp"": ""2023-08-15 16:15:05""}]",Bhairahawa,Shree Airlines,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-15 15:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 16:15:05""}]"
QR647,2023-08-15 18:45:00,"[{""time"": ""2023-08-15 18:45:00"", ""timestamp"": ""2023-08-15 19:15:02""}]",Doha,Qatar Airways,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 19:15:02""}]"
BHA619,2023-08-15 18:00:00,"[{""time"": ""2023-08-15 18:45:00"", ""timestamp"": ""2023-08-15 19:15:02""}, {""time"": ""2023-08-15 19:12:00"", ""timestamp"": ""2023-08-15 19:45:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 19:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 19:45:02""}]"
NYT785,2023-08-15 19:00:00,"[{""time"": ""2023-08-15 19:05:00"", ""timestamp"": ""2023-08-15 19:15:02""}, {""time"": ""2023-08-15 19:40:00"", ""timestamp"": ""2023-08-15 19:45:02""}, {""time"": ""2023-08-15 19:39:00"", ""timestamp"": ""2023-08-15 20:15:02""}]",Biratnagar,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 19:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 20:15:02""}]"
6E1154,2023-08-15 14:40:00,"[{""time"": ""2023-08-15 14:40:00"", ""timestamp"": ""2023-08-15 15:15:02""}]",Delhi,IndiGo,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 15:15:02""}]"
BHA957,2023-08-15 15:15:00,"[{""time"": ""2023-08-15 15:15:00"", ""timestamp"": ""2023-08-15 15:45:02""}, {""time"": ""2023-08-15 16:05:00"", ""timestamp"": ""2023-08-15 16:45:03""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 16:45:03""}]"
6E1158,2023-08-15 15:19:00,"[{""time"": ""2023-08-15 15:19:00"", ""timestamp"": ""2023-08-15 15:45:02""}]",Mumbai,IndiGo,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 15:45:02""}]"
BHA663,2023-08-15 19:15:00,"[{""time"": ""2023-08-15 19:15:00"", ""timestamp"": ""2023-08-15 19:15:02""}, {""time"": ""2023-08-15 19:34:00"", ""timestamp"": ""2023-08-15 19:45:02""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 19:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 19:45:02""}]"
BHA379,2023-08-15 15:40:00,"[{""time"": ""2023-08-15 15:40:00"", ""timestamp"": ""2023-08-15 15:45:02""}, {""time"": ""2023-08-15 16:25:00"", ""timestamp"": ""2023-08-15 16:45:03""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 16:45:03""}]"
BHA557,2023-08-15 15:45:00,"[{""time"": ""2023-08-15 15:45:00"", ""timestamp"": ""2023-08-15 15:45:02""}, {""time"": ""2023-08-15 16:05:00"", ""timestamp"": ""2023-08-15 16:15:05""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 16:15:05""}]"
RA205,2023-08-17 11:25:00,"[{""time"": ""2023-08-17 11:25:00"", ""timestamp"": ""2023-08-17 11:45:03""}]",Delhi,Nepal Airlines,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-17 11:45:03""}]"
AI216,2023-08-16 15:50:00,"[{""time"": ""2023-08-16 15:50:00"", ""timestamp"": ""2023-08-16 12:45:02""}]",Delhi,Air India,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-16 12:45:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-16 14:15:02""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-16 15:15:02""}]"
BHA957,2023-08-16 15:15:00,"[{""time"": ""2023-08-16 15:45:00"", ""timestamp"": ""2023-08-16 16:15:02""}]",Bhadrapur,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 16:15:02""}]"
BHA709,2023-08-15 15:20:00,"[{""time"": ""2023-08-15 15:20:00"", ""timestamp"": ""2023-08-15 15:15:02""}, {""time"": ""2023-08-15 15:37:00"", ""timestamp"": ""2023-08-15 15:45:02""}]",Biratnagar,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 15:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 15:45:02""}]"
BHA657,2023-08-16 15:35:00,"[{""time"": ""2023-08-16 15:45:00"", ""timestamp"": ""2023-08-16 16:15:02""}, {""time"": ""2023-08-16 16:35:00"", ""timestamp"": ""2023-08-16 16:45:07""}]",Pokhara,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-16 16:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-16 16:45:07""}]"
NYT421,2023-08-18 13:30:00,"[{""time"": ""2023-08-18 14:05:00"", ""timestamp"": ""2023-08-18 15:15:03""}]",Nepalgunj,Yeti Airlines,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-18 14:45:08""}]"
BHA859,2023-08-15 15:45:00,"[{""time"": ""2023-08-15 16:28:00"", ""timestamp"": ""2023-08-15 16:45:03""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 16:45:03""}]"
BHA357,2023-08-17 12:00:00,"[{""time"": ""2023-08-17 12:00:00"", ""timestamp"": ""2023-08-17 11:45:03""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-17 11:45:03""}]"
QR647,2023-08-15 18:00:00,"[{""time"": ""2023-08-15 18:00:00"", ""timestamp"": ""2023-08-15 15:15:02""}]",Doha,Qatar Airways,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 15:15:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 16:45:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 18:15:03""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-15 18:45:03""}]"
SHA435,2023-08-15 17:35:00,"[{""time"": ""2023-08-15 18:30:00"", ""timestamp"": ""2023-08-15 15:15:02""}, {""time"": ""2023-08-15 19:00:00"", ""timestamp"": ""2023-08-15 19:15:02""}, {""time"": ""2023-08-15 20:00:00"", ""timestamp"": ""2023-08-15 20:15:02""}, {""time"": ""2023-08-15 20:24:00"", ""timestamp"": ""2023-08-15 20:45:07""}]",Nepalgunj,Shree Airlines,f,"[{""status"": ""Delayed"", ""timestamp"": ""2023-08-15 15:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 20:15:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 20:45:07""}]"
RA217,2023-08-15 17:30:00,"[{""time"": ""2023-08-15 17:30:00"", ""timestamp"": ""2023-08-15 14:45:02""}]",Delhi,Nepal Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 14:45:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 16:15:05""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-15 17:15:04""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 17:45:03""}]"
AI216,2023-08-15 15:50:00,"[{""time"": ""2023-08-15 15:50:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Delhi,Air India,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 13:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 15:15:02""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 16:15:05""}]"
NYT573,2023-08-15 18:10:00,"[{""time"": ""2023-08-15 20:00:00"", ""timestamp"": ""2023-08-15 19:45:02""}, {""time"": ""2023-08-15 20:05:00"", ""timestamp"": ""2023-08-15 20:15:02""}]",Janakpur,Yeti Airlines,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 19:45:02""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 20:15:02""}]"
BHA857,2023-08-16 13:20:00,"[{""time"": ""2023-08-16 13:48:00"", ""timestamp"": ""2023-08-16 14:45:03""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 14:15:02""}]"
6E1156,2023-08-15 16:30:00,"[{""time"": ""2023-08-15 16:30:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Delhi,IndiGo,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 13:45:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 15:15:02""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 16:45:03""}]"
UK156,2023-08-15 17:00:00,"[{""time"": ""2023-08-15 17:00:00"", ""timestamp"": ""2023-08-15 14:15:02""}]",Delhi,Vistara,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 14:15:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 15:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 16:15:05""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-15 16:45:03""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 17:15:04""}]"
OV426,2023-08-15 21:30:00,"[{""time"": ""2023-08-15 21:30:00"", ""timestamp"": ""2023-08-15 18:45:03""}]",Muscat,Salam Air,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 18:45:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 20:15:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 21:15:02""}]"
AI216,2023-08-15 19:25:00,"[{""time"": ""2023-08-15 19:25:00"", ""timestamp"": ""2023-08-15 19:45:02""}]",Delhi,Air India,t,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-15 19:45:02""}]"
H9872,2023-08-15 19:45:00,"[{""time"": ""2023-08-15 19:45:00"", ""timestamp"": ""2023-08-15 16:45:03""}]",Kuala Lumpur,Himalaya Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 16:45:03""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 18:45:03""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 19:15:02""}, {""status"": ""Boarding Completed"", ""timestamp"": ""2023-08-15 19:45:02""}]"
RA415,2023-08-15 21:45:00,"[{""time"": ""2023-08-15 21:45:00"", ""timestamp"": ""2023-08-15 19:45:02""}]",Kuala Lumpur,Nepal Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 19:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-15 21:15:02""}]"
BHA255,2023-08-15 16:30:00,"[{""time"": ""2023-08-15 17:00:00"", ""timestamp"": ""2023-08-15 17:15:04""}, {""time"": ""2023-08-15 17:43:00"", ""timestamp"": ""2023-08-15 18:15:03""}]",Dhangadhi,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 17:15:04""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 18:15:03""}]"
BHA561,2023-08-15 17:30:00,"[{""time"": ""2023-08-15 17:30:00"", ""timestamp"": ""2023-08-15 17:15:04""}, {""time"": ""2023-08-15 17:57:00"", ""timestamp"": ""2023-08-15 18:15:03""}]",Simara Airport,Buddha Air,f,"[{""status"": ""Boarding"", ""timestamp"": ""2023-08-15 17:15:04""}, {""status"": ""Departed"", ""timestamp"": ""2023-08-15 18:15:03""}]"
H9559,2023-08-15 22:00:00,"[{""time"": ""2023-08-15 22:00:00"", ""timestamp"": ""2023-08-15 19:45:02""}]",Dammam,Himalaya Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-15 19:45:02""}, {""status"": ""Security Check"", ""timestamp"": ""2023-08-15 21:45:02""}]"
NYT421,2023-08-16 13:30:00,"[{""time"": ""2023-08-16 13:44:00"", ""timestamp"": ""2023-08-16 14:45:03""}]",Nepalgunj,Yeti Airlines,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-16 14:15:02""}]"
BHA373,2023-08-18 13:50:00,"[{""time"": ""2023-08-18 14:16:00"", ""timestamp"": ""2023-08-18 15:15:03""}]",Bharatpur,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-18 14:45:08""}]"
H9678,2023-08-17 13:50:00,"[{""time"": ""2023-08-17 13:50:00"", ""timestamp"": ""2023-08-17 10:45:02""}]",Dhaka,Himalaya Airlines,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-17 10:45:02""}, {""status"": ""Boarding"", ""timestamp"": ""2023-08-17 13:15:02""}]"
BHA857,2023-08-18 13:55:00,"[{""time"": ""2023-08-18 14:49:00"", ""timestamp"": ""2023-08-18 15:15:03""}]",Bhairahawa,Buddha Air,f,"[{""status"": ""Departed"", ""timestamp"": ""2023-08-18 15:15:03""}]"
6E1154,2023-08-17 14:05:00,"[{""time"": ""2023-08-17 14:05:00"", ""timestamp"": ""2023-08-17 12:15:03""}]",Delhi,IndiGo,t,"[{""status"": ""Check in"", ""timestamp"": ""2023-08-17 12:15:03""}, {""status"": ""Last Call"", ""timestamp"": ""2023-08-17 13:45:02""}]"
